Tweet text,Tweet date
"Bryan Broadhurst, a Cyber Designer for the Bank of England visited the school today to speak with students about his career journey and career opportunities within this sector. Thank you for a fantastic talk. #careers",2023-04-18T14:06:02.000Z
U1 trip to the Bank of England ,2023-02-22T11:05:27.000Z
BoE unveils new £50 note celebrating WW2 code breaker Alan Turing http://dlvr.it/RwL24h,2021-03-25T09:18:05.000Z
"The @bankofengland has revealed the design for the new £50 note, featuring Bletchley Park codebreaker Alan Turing https://itv.com/news/anglia/2021-03-25/bank-of-england-reveal-design-of-new-alan-turning-50-note…#alanturing #TheNew50",2021-03-25T08:18:23.000Z
New £50 banknote featuring WWII codebreaker and LGBTQ icon Alan Turing revealed:https://attitude.co.uk/article/new-50-note-featuring-lgbtq-icon-alan-turing-revealed-1/24709/…,2021-03-25T09:04:26.000Z
New Alan Turing £50 note design revealed ,2021-03-25T08:23:04.000Z
Reckon you could crack this?  GCHQ unveil ‘toughest ever puzzle’ to mark Alan Turing £50 note https://bit.ly/3lQq1Bt,2021-03-25T08:50:27.000Z
"The Bank of England unveils the design of its new 50-pound banknote honoring World War II code breaker Alan Turing, completing its “most secure” set of notes yet",2021-03-25T07:58:01.000Z
Have you cracked GCHQ’s Turing Challenge? The UK's intelligence agency has released them to mark the new £50 note design https://bbc.in/3rm3Ioc,2021-03-25T07:35:50.000Z
"One of the coolest uses of AR I've seen -  a Snapchat filter that, when hovered over the new £20 note, that transforms the Artist on the note (JMW Turner) into one of his detailed paintings - complete with vivid animations - excellent, cool stuff @Snapchat @bankofengland  ",2020-02-25T14:31:00.000Z
We’re delighted to be one of @bankofengland's chosen charities! To mark the release of the new £20 note why not donate your first one to ARUK? You can help us make a difference for people affected by dementia - with £20 enough to fund 1-hour of life-changing research in our labs.,2020-02-25T10:56:02.000Z
"Turner’s House Trust are delighted to announce that due to popular demand, ‘Turner and the Thames: Five Paintings’ has now been extended until 30th April 2020!We are most grateful to Tate Britain for granting the extension of this exhibition. Book now-",2020-02-22T17:20:28.000Z
"The @BankOfEngland has launched its new tactile £20 note Designed to be more #accessible for #Blind and #PartiallySighted people, the new note features 3 clusters of dots, in contrast to the £10 note, which has 2. Read more ",2020-02-21T16:11:40.000Z
Got myself two new £20 notes. @bankofengland love them.,2020-02-21T12:17:58.000Z
"Not that I've spent one yet, but it's great to see the young JMW Turner on the back of the new £20 note, bringing back happy memories of my role on the committee that advised the Bank of England on who should be the first artist ever to appear on one of its bank notes.",2020-02-20T15:29:42.000Z
"I am utterly delighted that @bankofengland chose to honour Turner, who has for many years been my favorite artist.",2020-02-21T01:49:19.000Z
Joint @bankofengland @FederalReserve and @ecb conference will discuss gender and career progression. Watch Live October 21. https://ecb.europa.eu/pub/conferences/html/20191021_2nd_gender_conference.en.html?utm_source=ecb_twitter&utm_medium=social&utm_campaign=191021_gendercareerconference…,2019-10-18T17:02:55.000Z
"Exciting news today as the @bankofengland reveal that JMW Turner will now feature on the new £20 notes.And you can see Turner's 'Walton Bridges', his first piece painted in open air, on display now at @NorwichCastle.",2019-10-10T11:35:47.000Z
@bankofengland thanks for the great competition. As a team we loved every minute! Look forward to coming to the Bank in the summer #target2,2015-03-21T22:12:27.000Z
