Tweet text,Tweet date
"Bryan Broadhurst, a Cyber Designer for the Bank of England visited the school today to speak with students about his career journey and career opportunities within this sector. Thank you for a fantastic talk. #careers",2023-04-18T14:06:02.000Z
U1 trip to the Bank of England ,2023-02-22T11:05:27.000Z
BoE unveils new £50 note celebrating WW2 code breaker Alan Turing http://dlvr.it/RwL24h,2021-03-25T09:18:05.000Z
"The @bankofengland has revealed the design for the new £50 note, featuring Bletchley Park codebreaker Alan Turing https://itv.com/news/anglia/2021-03-25/bank-of-england-reveal-design-of-new-alan-turning-50-note…#alanturing #TheNew50",2021-03-25T08:18:23.000Z
New £50 banknote featuring WWII codebreaker and LGBTQ icon Alan Turing revealed:https://attitude.co.uk/article/new-50-note-featuring-lgbtq-icon-alan-turing-revealed-1/24709/…,2021-03-25T09:04:26.000Z
New Alan Turing £50 note design revealed ,2021-03-25T08:23:04.000Z
Reckon you could crack this?  GCHQ unveil ‘toughest ever puzzle’ to mark Alan Turing £50 note https://bit.ly/3lQq1Bt,2021-03-25T08:50:27.000Z
"The Bank of England unveils the design of its new 50-pound banknote honoring World War II code breaker Alan Turing, completing its “most secure” set of notes yet",2021-03-25T07:58:01.000Z
My guess.,2021-03-22T14:40:43.000Z
"twenty five march twenty twenty oneMarch 25, 2021You're welcome!",2021-03-22T17:45:17.000Z
"In March 1941 Mavis deciphered a message, “Today 25 March is X-3""",2021-03-22T17:53:15.000Z
twent yfive march twent ytwen tyone,2021-03-23T02:21:51.000Z
was trivial already so you might as well give them the full key with missing letter S !ROTORS : II I IIIRINGSETTING : W S IMESSAGE KEY: D Q LREFLECTOR : BTWENT YFIVE MARCH TWENT YTWEN TYONE,2021-03-23T15:21:37.000Z
25 March 2021,2021-03-24T10:58:29.000Z
"Congratulations to Anya, Isla, Chloe, Lily and Maddy in year 10 who are winners of the 2020 @bankofengland School film competition. The topic was: ‘The changing workplace: same spaces new realities’. You can watch their outstanding video here: https://bankofengland.co.uk/education/competitions/bank-camera-action/bank-camera-action-2020-21… @BGSBristol",2021-02-26T11:53:37.000Z
"What a privilege for our students to discuss the current economic situation and immediate prospects with the Governor of the Bank of England, Andrew Bailey this afternoon! Thank you @bankofengland!",2021-02-09T15:57:27.000Z
It is finally here!!! The #new20note featuring #jmwturner has been released and we are very happy to have the #realthing in the house!! We are sure Turner would have #lovedit! @bankofengland,2020-02-20T11:00:31.000Z
 Excited to see the new £20 note with J. M. W. Turner’s 1799 self-portrait & famous words: 'Light is therefore colour'.  See the iconic painting here at Tate Britain!,2020-02-20T11:51:06.000Z
We're delighted to be supporting @bankofengland in introducing the new £20 note by dispensing it through selected ATMs as we start the full roll-out. The £20 note is the most widely used note & now it will be the most secure too. #20poundnote #Williamturner #Thefightingtemeraire,2020-02-20T11:33:24.000Z
"#TheNew20 featuring JMW Turner is finally available Celebrating the work of this iconic artist, the banknote features the picturesque sunset, Margate Lighthouse & @TCMargate!",2020-02-20T09:43:35.000Z
"We’re delighted to have worked with @bankofengland to make sure #TheNew20 is accessible. So, you can bank on the new £20 being as accessible as possible for people with sight loss!",2020-02-20T06:53:00.000Z
Joint @bankofengland @FederalReserve and @ecb conference will discuss gender and career progression. Watch Live October 21. https://ecb.europa.eu/pub/conferences/html/20191021_2nd_gender_conference.en.html?utm_source=ecb_twitter&utm_medium=social&utm_campaign=191021_gendercareerconference…,2019-10-18T17:02:55.000Z
"Exciting news today as the @bankofengland reveal that JMW Turner will now feature on the new £20 notes.And you can see Turner's 'Walton Bridges', his first piece painted in open air, on display now at @NorwichCastle.",2019-10-10T11:35:47.000Z
@bankofengland thanks for the great competition. As a team we loved every minute! Look forward to coming to the Bank in the summer #target2,2015-03-21T22:12:27.000Z
