Tweet text,Tweet date
"Bryan Broadhurst, a Cyber Designer for the Bank of England visited the school today to speak with students about his career journey and career opportunities within this sector. Thank you for a fantastic talk. #careers",2023-04-18T14:06:02.000Z
U1 trip to the Bank of England ,2023-02-22T11:05:27.000Z
Tomorrow @bankofengland will launch a new Alan Turing £50 note. We'll be marking the day with a #Turing50Takeover.  Here's a look back at what Turing's nephew Sir Dermot Turing thought when the new note was first announced: http://ow.ly/9AOH50Fds4z,2021-06-22T08:45:03.000Z
"TODAY at 12:30: There's still time to joinHear Sir Dermot Turing, Sue Black @Dr_Black, Kirstie Whitaker @kirstie_j, @ClaraMBarker, @DeepMind's Shakir Mohamed @shakir_za, & David Leslie reflect on #AlanTuring's legacy in 2021 and beyondhttp://bit.ly/TuringLegacy#TuringLegacy",2021-06-16T09:19:20.000Z
"#BoECitizensPanel interesting session. Andrew Bailey, Sarah Beedon, Kate Hainsworth",2021-05-13T16:15:52.000Z
Participating in #BoECitizensPanel. Very interesting and fascinating listening to responses to questions from the panel.,2021-05-13T16:25:04.000Z
Stephen Fry @stephenfry explains why he supports the choice of Alan Turing as the character for the new £50 note. http://New50.co.uk #TheNew50,2021-03-25T12:00:18.000Z
"It means a great deal to all of us at The Alan Turing Institute that our namesake has been recognised in this way. Dr David Leslie, Ethics Theme Lead and Ethics Fellow, recently reflected on Alan Turing's legacy in his blog: https://turing.ac.uk/blog/alan-turings-legacy-troubled-times… #TheNew50",2021-03-25T11:02:59.000Z
"The @bankofengland has announced that Alan Turing will feature on the new £50 note.Quite fortuitously, our students have been creating codes of their own, following in Turing's footsteps.Find out about our #ComputerScience curriculum here  https://buff.ly/2P5clGO#TheNew50",2021-03-25T12:22:52.000Z
twent yfive march twent ytwen tyone,2021-03-23T02:21:51.000Z
was trivial already so you might as well give them the full key with missing letter S !ROTORS : II I IIIRINGSETTING : W S IMESSAGE KEY: D Q LREFLECTOR : BTWENT YFIVE MARCH TWENT YTWEN TYONE,2021-03-23T15:21:37.000Z
25 March 2021,2021-03-24T10:58:29.000Z
"Congratulations to Anya, Isla, Chloe, Lily and Maddy in year 10 who are winners of the 2020 @bankofengland School film competition. The topic was: ‘The changing workplace: same spaces new realities’. You can watch their outstanding video here: https://bankofengland.co.uk/education/competitions/bank-camera-action/bank-camera-action-2020-21… @BGSBristol",2021-02-26T11:53:37.000Z
"What a privilege for our students to discuss the current economic situation and immediate prospects with the Governor of the Bank of England, Andrew Bailey this afternoon! Thank you @bankofengland!",2021-02-09T15:57:27.000Z
"Our Citizens' Panel members are sharing their experiences of how work has changed - both positively and negatively - as a result of the pandemic. Other issues have included the impact on charities, and the emergence of a digital divide #BoECitizensPanel",2020-11-04T16:49:12.000Z
"To end the visit, Their Royal Highnesses join a virtual conversation with the @bankofengland’s regional agents who are calling in from across the UK!",2020-10-28T16:57:21.000Z
 Excited to see the new £20 note with J. M. W. Turner’s 1799 self-portrait & famous words: 'Light is therefore colour'.  See the iconic painting here at Tate Britain!,2020-02-20T11:51:06.000Z
We're delighted to be supporting @bankofengland in introducing the new £20 note by dispensing it through selected ATMs as we start the full roll-out. The £20 note is the most widely used note & now it will be the most secure too. #20poundnote #Williamturner #Thefightingtemeraire,2020-02-20T11:33:24.000Z
"#TheNew20 featuring JMW Turner is finally available Celebrating the work of this iconic artist, the banknote features the picturesque sunset, Margate Lighthouse & @TCMargate!",2020-02-20T09:43:35.000Z
"We’re delighted to have worked with @bankofengland to make sure #TheNew20 is accessible. So, you can bank on the new £20 being as accessible as possible for people with sight loss!",2020-02-20T06:53:00.000Z
We're delighted to be supporting @bankofengland in introducing the new £20 note by dispensing it through selected ATMs as we start the full roll-out. The £20 note is the most widely used note & now it will be the most secure too. #20poundnote #Williamturner #Thefightingtemeraire,2020-02-20T11:33:24.000Z
"#TheNew20 featuring JMW Turner is finally available Celebrating the work of this iconic artist, the banknote features the picturesque sunset, Margate Lighthouse & @TCMargate!",2020-02-20T09:43:35.000Z
"We’re delighted to have worked with @bankofengland to make sure #TheNew20 is accessible. So, you can bank on the new £20 being as accessible as possible for people with sight loss!",2020-02-20T06:53:00.000Z
Snapchat and Bank of England bring Turner artworks to life for launch of new £20 note https://buff.ly/38IUHxh,2020-02-20T09:34:02.000Z
The new £20 has come to Parliament today! The most secure note yet with design features referencing Turner.,2020-02-05T13:42:55.000Z
"The “Turner”, the new £20 note featuring the Turner Contemporary & Margate Lighthouse, was launched at the House of Commons today.  It will be in circulation later in the Spring. I look forward to when all MPs will be carrying around a little bit of Margate in their wallets!",2020-02-05T13:31:43.000Z
Joint @bankofengland @FederalReserve and @ecb conference will discuss gender and career progression. Watch Live October 21. https://ecb.europa.eu/pub/conferences/html/20191021_2nd_gender_conference.en.html?utm_source=ecb_twitter&utm_medium=social&utm_campaign=191021_gendercareerconference…,2019-10-18T17:02:55.000Z
"Exciting news today as the @bankofengland reveal that JMW Turner will now feature on the new £20 notes.And you can see Turner's 'Walton Bridges', his first piece painted in open air, on display now at @NorwichCastle.",2019-10-10T11:35:47.000Z
@bankofengland thanks for the great competition. As a team we loved every minute! Look forward to coming to the Bank in the summer #target2,2015-03-21T22:12:27.000Z
